name,twt_handle,tweet_body,post_date,reply_cnt,rt_cnt,like_cnt
RahmasNFTs,@rahmasNFTS,"Third  winner for  Muri  fan art is  @Muthay101  congratulations   hope you like it!   @MuriNFT    @haustwts   #MuriNFT   #MURIbyHaus    #murifollowmuri To enter next round

1 follow
2 retweet
3 comment below your  Muri  including your  Muri  number

Keep going I’m in love with this community",2022-03-28T10:52:22.000Z,3,2,8
skytach,@skytach_,"Been eyeing   @MuriNFT    for a while and finally picked 1 up!

 Where my  #Muri   fam at? #MURIbyHaus     #NewNFTProfilePic",2022-03-28T10:22:16.000Z,2,2,7
KATA Drama,@drama_kata,"You’re not buying NFTs.

You’re buying brands. #MURIbyHaus     @MuriNFT",2022-03-28T09:32:32.000Z,,,
DanK,@danykolm,Diamond handing this one. Excited for the things that are coming    #murifollowmuri   #MURIbyHaus,2022-03-28T08:59:01.000Z,,1,8
NFT Alerts,@nftflooralerts," Top Whale BUYS  (Last 24h):

World of Women Galaxy: 76 (avg: 2.26 Ξ) MURI   by   Haus : 60 (avg: 1.81 Ξ)
ETHTerrestrials: 32 (avg: 0.13 Ξ)
KIWAMI Genesis: 26 (avg: 0.21 Ξ)
Enigma Economy NFT: 18 (avg: 0.37 Ξ)",2022-03-28T01:02:07.000Z,,,
no_distractions_music,@distractions_no,Right here!  #MURIbyHaus,2022-03-28T00:22:39.000Z,,,3
Charles Goldberg,@charlesg1006,"As you can tell from my profile pic I am actively trading NFT's and right now focused on 2 relatively new collections,  MURI   by   Haus  and Cyberbrokers. I currently have one of each and have bought and sold 3-4 of each. Was actually inspired by your 2/14 Twitter post to get started.",2022-03-27T23:52:14.000Z,,,3
Nick.nft ᵍᵐ,@Nickis_Dead,LFG  #MuriNFT   #MURIbyHaus,2022-03-27T23:09:34.000Z,1,,4
jubbard.eth,@12shadewind,God damn sexy bazooka #3593  #MuriNFT  #MURIbyHaus    #haus   1.49eth,2022-03-27T23:03:55.000Z,1,1,2
MM$,@pogobugsy,Check out my new NFT on OpenSea!  https:// 13d4392c806e6d0ff5ee91e6073c21d6430/393/ …  via  @opensea   #NFT   #MURIbyHaus,2022-03-27T22:56:25.000Z,1,1,3
JLovenft,@JLovenfts,The current lineup..really want to add another to the crew before its too late   @MuriNFT    #MURIbyHaus    #Muri,2022-03-27T22:37:43.000Z,,,1
Spr3adsh33t,@spr3adsh33t,"MURI   by   Haus  - Trading Price Analysis
Floor Price: 0.8 ETH
24 Hour Volume: 799 Trxs | 789.83 ETH
Owners/Supply: 6441/10000
Buy Floor Now:  https:// us?search[paymentAssets][0]=ETH&search[sortAscending]=true&search[sortBy]=PRICE&search[toggles][0]=BUY_NOW&ref=0x8363b3c46c057f9218ddc2f8fa87994173b57d82 … View Activity:  https:// haus?ref=0x8363b3c46c057f9218ddc2f8fa87994173b57d82 …  #muri    #NFTs",2022-03-27T22:06:55.000Z,,2,6
NFT Sentiment Updates,@NFTSentimentX,"1H Top  #Nft  Sales

ESSENCE//: 217
KIWAMI Genesis: 75
World of Women Galaxy: 72
Feline Fiendz NFT: 30
Unidentified contract - Z9zTndksje: 25
Sprite Club Official: 25
Wandernauts: 21
Everai Heroes: Duo: 19
ETHTerrestrials: 18 MURI   by   Haus : 13",2022-03-27T22:00:01.000Z,,1,3
NFT Notifier,@nft_notifier,MURI   by   Haus  hit a new high price! Ξ25 sold for  MURI   by   Haus  #6153 #NFT,2022-03-27T19:22:15.000Z,1,1,4
Drft z,@Drft_Z,Yo just reached 100 followers and grateful to y'all . Now I want to see   @MuriNFT    reach 1 eth   #MURIbyHaus,2022-03-27T19:21:01.000Z,2,,7
Drft z,@Drft_Z,To all  Muri  lovers . Tune into this ama    #MURIbyHaus    #MuriNFT,2022-03-27T19:18:43.000Z,,,2
NFT Analytics,@analytics_nft,#newbies  in top-10  #NFT  collections on  $ETH   #worldofwomengalaxy  #MURIbyHaus    #azukiNFT,2022-03-27T19:17:09.000Z,,1,2
Muri Alpha Group,@MuriAlphaGroup,"The   @MuriNFT   community is growing by the minute! Floor is almost back to 1.0 and   hands are forming. Super happy to see everybody who has joined the Alpha Group so far. If you haven't yet, the Discord link is just below - #MURIbyHaus    #MuriNFT",2022-03-27T19:15:51.000Z,,4,16
Nikhil Jain,@Nikhil031089,@MuriNFT    #MuriNFT   #MURIbyHaus    #MuriFollowsMuri,2022-03-27T19:09:47.000Z,,,2
NFT Alerts,@nftflooralerts,"#3 Traded Collection (Last 15min): MURI   by   Haus Sales: 36
Unique Buyers: 31
Avg Price: 1.03 Ξ
Link:",2022-03-27T19:06:08.000Z,,,
NFT Alerts,@nftflooralerts," Top Whale BUYS  (Last hour): MURI   by   Haus : 16 (avg: 1.08 Ξ)
World of Women Galaxy: 4 (avg: 2.37 Ξ)
Plasticity by p4stoboy: 3 (avg: 0.82 Ξ)
Cool Pets NFT: 1 (avg: 1.5 Ξ)
ETHTerrestrials: 1 (avg: 0.18 Ξ)",2022-03-27T19:02:03.000Z,,,1
NFT Notifier,@nft_notifier,"#NFT  Sales of Last Hour 206 | KIWAMI Genesis
199 | World of Women Galaxy
159 | ETHTerrestrials
100 |  MURI   by   Haus",2022-03-27T19:00:21.000Z,,,2
NFT Whale Alert,@nftwhalealert,"Hourly Top Sales
KIWAMI Genesis: 347
World of Women Galaxy: 256
ETHTerrestrials: 195 MURI   by   Haus : 117
Everai Heroes: Duo: 62
Sprite Club Official: 55
Feline Fiendz NFT: 45
Goopdoods by Goopdude - Official Collection: 43
Wandernauts: 40
Fresh Fools: 38",2022-03-27T19:00:16.000Z,2,,6
JAMIΞ,@jamiebxne,Decided to join the wave   @MuriNFT    #MuriNFT   #MURIbyHaus,2022-03-27T17:53:16.000Z,22,21,136
viknft.eth,@BitcoinVik,"My   @MuriNFT   savages, feel like I need to get more    #MuriNFT   #MURIbyHaus",2022-03-27T17:50:33.000Z,1,2,24
sneaks21,@Sneaks21,I’m bullish on   @MuriNFT    @haustwts   @ethassa   Don’t miss out on this run. Where are my Muris at?  #murifollowmuri   #MuriNFT   #MURIbyHaus,2022-03-27T17:46:11.000Z,5,9,47
mrssassy,@keelyssw_nfts,@MuriNFT   rares being sniped every minute…  #MuriNFT   #MURIbyHaus,2022-03-27T17:44:06.000Z,,,5
Sticky DAO | NFT Alerts,@NFTrepreneur,"Top 10 Trending  #NFT  Collections Past Hour:

World of Women Galaxy | (Ξ 1.55) | (Ξ 593.55)
ETHTerrestrials | (Ξ 0.14) | (Ξ 25.02)
Everai Heroes: Duo | (Ξ 0.18) | (Ξ 22.79) MURI   by   Haus  | (Ξ 0.85) | (Ξ 75.21)
Sprite Club Official | (Ξ 0.18) | (Ξ 15.31)",2022-03-27T17:30:30.000Z,1,,
Riceman,@riceman_invest,Joined the   @MuriNFT   Fam #Murifollowmuri   #MURIbyHaus,2022-03-27T17:23:15.000Z,,,5
Octo from NiftyRiver.io,@niftyriverocto,"The top 3 selling NFT projects on eth in the last hr

1 World Of Women Galaxy
2 Everai Heroes: Duo
3  MURI   by   Haus Full list at  https://   #NFT",2022-03-27T17:20:30.000Z,,,
washi washa,@washieth,"Got another  muri , this emo bad boy looks insane! Excited to see what could be the announcement coming this week!   @MuriNFT    @haustwts   #murifollowsmuri   #MuriNFT   #MURIbyHaus    #murifollowmuri",2022-03-27T17:15:51.000Z,1,8,36
NFT Alerts,@nftflooralerts,"#3 Traded Collection (Last 15min): MURI   by   Haus Sales: 22
Unique Buyers: 18
Avg Price: 0.95 Ξ
Link:",2022-03-27T17:05:53.000Z,,2,1
0M3RT4.eth,@dopa_crypt0,"It is not impermanence that makes us suffer. What makes us suffer is wanting things to be permanent, when they are not.  @MuriNFT    #MURIbyHaus    #MuriNFT   #MuriFollowMuri",2022-03-27T16:11:36.000Z,4,5,50
Drft z,@Drft_Z,Don't sleep on   @MuriNFT    getting sniped left and right . Volume pumping constantly  . New announcement this week  #MURIbyHaus    #Haus    #MuriNFT,2022-03-27T16:11:26.000Z,,7,33
Sleepy,@blindclxrity,Me holding my   @MuriNFT   bag  #MURIbyHaus    #thenightcity,2022-03-27T16:06:49.000Z,,,5
NFT Alerts,@nftflooralerts,"#2 Traded Collection (Last 15min): MURI   by   Haus Sales: 18
Unique Buyers: 12
Avg Price: 2.41 Ξ
Link:",2022-03-27T16:05:52.000Z,,1,
NFT Alerts,@nftflooralerts," Top Whale BUYS  (Last hour): MURI   by   Haus : 11 (avg: 3.4 Ξ)
World of Women Galaxy: 5 (avg: 3.3 Ξ)
Fresh Fools: 2 (avg: 0.15 Ξ)
AlphaSharks NFT: 1 (avg: 0.34 Ξ)
Grassetti's OS Collection: 1 (avg: 0.3 Ξ)",2022-03-27T16:02:03.000Z,,,
NFT Whale Alert,@nftwhalealert,"Hourly Top Sales
World of Women Galaxy: 392
Fresh Fools: 148
Sprite Club Official: 100
Average Creatures: 69
DAPE: Genesis: 67 MURI   by   Haus : 63
The Weirdo Ghost Gang: 55
Lucha Libre Knockout: 53
The Akiras: 44
Everai Heroes: Duo: 43",2022-03-27T16:00:25.000Z,2,,3
Trengible - Discover the nft trends,@Trengible," - CryptopolitanG just bought Ethereal for 18 ETH ($56,568.06)

Collection:  MURI   by   Haus Date: 2022-03-27 15:59:36 (GMT 0)

Detail:  https:// real-0x4b61413d4392c806e6d0ff5ee91e6073c21d6430-4417 …",2022-03-27T16:00:11.000Z,,,
NFT Whale Alert,@nftwhalealert,"Hourly Top Volume
World of Women Galaxy: Ξ964.09 ($3,051,991.28)
World of Women: Ξ243.12 ($769,634.52)
Bored Ape Yacht Club: Ξ108.99 ($345,026.37) MURI   by   Haus : Ξ82.31 ($260,575.48)
Bored Ape Kennel Club: Ξ48.33 ($153,011.74)",2022-03-27T16:00:07.000Z,1,1,4
Muri Alpha Group,@MuriAlphaGroup,"Gm and welcome to all the new Night City Members!   @MuriNFT   floor is back up to .74 to start the day, nothing but great things happening in the community!  - #MuriNFT   #MURIbyHaus",2022-03-27T14:41:39.000Z,1,2,18
RidhuanMH,@ridhuanmh,#MURIbyHaus    #murifollowsmuri,2022-03-27T14:02:01.000Z,,,1
Booooz,@iwasayinboourns,"CURRENTLY KEEPING AN EYE ON:

Edenhorde 
Satoshi Runners
HUXLEY Comics (Issues 1 & 3)

Would love to pick up a  MURI   by   HAUS",2022-03-27T13:39:51.000Z,,,
🆃🅷🅴 ꕔ🆂🅸ꕔ🅽 🅼🅸🅽🆃,@asian_mint,"6. CloneX (Floor remained the same) Bonus!
7. ZombieClub Token (-0.13 ETH)  8. Doodles (+0.59 ETH)  9.  MURI   by   Haus  (+0.11 ETH)  10. Meebits (-0.4 ETH)  6/10! Can we get a perfect score this week? ",2022-03-27T13:18:43.000Z,,2,8
🆃🅷🅴 ꕔ🆂🅸ꕔ🅽 🅼🅸🅽🆃,@asian_mint,"Predict the Floor in a Week!
5.  MURI   by   Haus",2022-03-27T13:00:52.000Z,,2,3
Sticky DAO | NFT Alerts,@NFTrepreneur,"MURI   by   Haus  | (Ξ 0.73) | (Ξ 20.38)
Milady Maker | (Ξ 0.79) | (Ξ 17.17)
Pixelmon - Generation 1 | (Ξ 0.42) | (Ξ 12.62)
Ethereal Art - Asia Ladowska | (Ξ 0.03) | (Ξ 2.37)
Shonen Junk Official | (Ξ 0.06) | (Ξ 1.87)

Which NFT are you buying today?",2022-03-27T13:00:35.000Z,,,1
Drft z,@Drft_Z,Muri   by   haus,2022-03-27T12:48:09.000Z,,,1
NFT Alerts,@nftflooralerts," Top Whale BUYS  (Last hour): MURI   by   Haus : 10 (avg: 1.07 Ξ)
0x2953399124f0cbb46d2cbacd8a89cf0599974963: 1 (avg: 0.03 Ξ)",2022-03-27T12:02:04.000Z,,,
xentrikk.eth,@XentriKK3,Im in!!   @MuriNFT    @haustwts   #MURIbyHaus    #MuriNFT,2022-03-27T12:00:23.000Z,1,,6
NFT Whale Alert,@nftwhalealert,"Hourly Top Sales
World of Women Galaxy: 107
Goopdoods by Goopdude - Official Collection: 80
KIWAMI Genesis: 41
Sprite Club Official: 40
SKULLTOONS Gavroche by Theodoru: 36 MURI   by   Haus : 28
Feline Fiendz NFT: 27
Milady Maker: 25
Shonen Junk Official: 23",2022-03-27T12:00:17.000Z,1,1,12
NFT Whale Alert,@nftwhalealert,"Hourly Top Volume
World of Women Galaxy: Ξ171.61 ($539,240.72) MURI   by   Haus : Ξ25.81 ($81,109.69)
Mutant Ape Yacht Club: Ξ25.69 ($80,724.15)
Milady Maker: Ξ20.28 ($63,724.63)
Goopdoods by Goopdude - Official Collection: Ξ19.89 ($62,492.24)",2022-03-27T12:00:07.000Z,1,,5
pillcosbey.eth,@PillCozbey,its the ecosystem where  muri  and other projects were build on   if you had a hausphases you could have gotten in to  muri  WL and many other projects  by   haus  you can read about it here,2022-03-27T08:24:46.000Z,1,,2
Drft z,@Drft_Z,"Surprise announcement that is not part of roadmap.

Major collab announcement Haus  x Haku garden collab - NIWA Nft  Muri  holders might get early access on NIWA - rumor as of now #MURIbyHaus    #MuriNFT    @MuriNFT    @haustwts   @ethassa",2022-03-27T08:20:33.000Z,,1,12
viknft.eth,@BitcoinVik,"Just bought my second   @MuriNFT   , love them!  #MURIbyHaus",2022-03-27T08:08:32.000Z,,1,9
Drft z,@Drft_Z,Finally got into  Haus  ecosystem. Can't wait for the announcement this week. Big pump coming  Take some time and do a research on   @MuriNFT    @haustwts   @ethassa   and y'all won't be disappointed.  #MURIbyHaus,2022-03-27T08:05:57.000Z,10,12,95
NFT Alerts,@nftflooralerts," Top Whale BUYS  (Last hour):

ENS: Ethereum Name Service: 2 (avg: 0.05 Ξ)
0xe935e764da0f1a2597f9c1bf13a64515bff9f7d7: 1 (avg: 0.04 Ξ)
Doki Doki: 1 (avg: 0.35 Ξ)
Look Labs Game Key: 1 (avg: 0.4 Ξ) MURI   by   Haus : 1 (avg: 0.73 Ξ)",2022-03-27T08:02:03.000Z,,,
NFT Sentiment Updates,@NFTSentimentX,"1H Top  #Nft  Sales

Shinsekai Drifters: 111
World of Women Galaxy: 83
KaijuFrenz: Genesis: 48
SKULLTOONS Gavroche by Theodoru: 47
The Jims: 30
Sprite Club Official: 30
Puxxies: 30
Trippy Toadz NFT: 27
Fresh Fools: 18 MURI   by   Haus : 16",2022-03-27T08:00:00.000Z,,,1
NFT Whale Alert,@nftwhalealert,"Hourly Top Sweep (Beta)
Shinsekai Drifters: 143
Happy Homies NFT: 119
Puxxies: 28
Official Kidzuki: 23
Stranger EggZ: 21
Sprite Club Official: 20 MURI   by   Haus : 18
Genesis Gods: By NaelG: 14
World of Women Galaxy: 12
Fresh Fools: 11",2022-03-27T06:00:37.000Z,,4,11
NFT Whale Alert,@nftwhalealert,"Hourly Top Sales
Shinsekai Drifters: 273
Puxxies: 262
Happy Homies NFT: 132
World of Women Galaxy: 132
Official Kidzuki: 59
Sprite Club Official: 56 MURI   by   Haus : 48
Genesis Gods: By NaelG: 31
ESSENCE//: 30
Elemental by Fang Lijun: 26",2022-03-27T06:00:25.000Z,,3,11
NFT Sentiment Updates,@NFTSentimentX,"1H Top  #Nft  Sales

Shinsekai Drifters: 286
Puxxies: 246
Happy Homies NFT: 141
World of Women Galaxy: 115
Official Kidzuki: 59
Sprite Club Official: 50 MURI   by   Haus : 43
ESSENCE//: 25
(B)APETAVERSE: 24
SmallBrosNFT: 24",2022-03-27T06:00:01.000Z,1,1,2
iTK,@iTK_nft,Another addition to Night City   @MuriNFT    #muri    #MURIbyHaus,2022-03-27T05:41:47.000Z,,,7
JTee.eth,@JCryptix,#MURIbyHaus   been into this for a while and finally I got one ,2022-03-27T03:17:16.000Z,,,2
Nick.nft ᵍᵐ,@Nickis_Dead,Don't sleep on   @MuriNFT   I'm legit warning you lol  #Muri    #MuriByHaus    #NFT   #NFTCommunity,2022-03-27T02:51:16.000Z,11,16,80
NFT Alerts,@nftflooralerts," Top Whale SELLS  (Last hour): MURI   by   Haus : 2 (avg: 0.65 Ξ)
OKPC: 2 (avg: 0.17 Ξ)
PuzlPack (Punks): 2 (avg: 0.04 Ξ)
World of Women Galaxy: 2 (avg: 1.85 Ξ)
10KTF: 1 (avg: 0.39 Ξ)",2022-03-26T23:02:05.000Z,,,
NFT Ranking,@NFTranking,"Top 7 NFT/Vol Traded  ETH/24h @AzukiZen 12,880.17 @BoredApeYC 12,831.14 @BoredApeYC  (Mutant)  11,507.45 MURI   by   Haus 9,229.32 @larvalabs  (CryptoPunks) 4,785.26
(B)APETAVERSE     4,736.57 @RTFKTstudios 4,331.68 #NFT   #NFTCommunity   #NFTs   #NFTranking",2022-03-26T22:56:42.000Z,,5,5
viknft.eth,@BitcoinVik,Joined the   @MuriNFT   community! In love with the art!!  #MURIbyHaus,2022-03-26T22:23:25.000Z,5,10,58
Drigo,@Jdmdrigo,#NewNFTProfilePic  Joined the   @MuriNFT   gang last night   LFG  #MURIbyHaus    #Haus    Muri  follow  Muri ? ,2022-03-26T22:11:14.000Z,,1,11
Nick.nft ᵍᵐ,@Nickis_Dead,"I own two of these collections, feelsgoodman!!  #MAYC   #MURIbyHaus",2022-03-26T22:01:24.000Z,6,,32
Rage¡ B,@RageR_BB,S/O to the plug for this one @SscaleNft    @MuriNFT    #Muri    #MURIbyHaus,2022-03-26T21:59:37.000Z,1,,1
Nick.nft ᵍᵐ,@Nickis_Dead,NGL I like these more then Azukis!   @MuriNFT    #MURIbyHaus    #NFT   #muri    #AzukiZen,2022-03-26T21:20:52.000Z,1,3,17
Spr3adsh33t,@spr3adsh33t,"MURI   by   Haus  - Trading Price Analysis
Floor Price: 0.635 ETH
24 Hour Volume: 365 Trxs | 233.14 ETH
Owners/Supply: 6533/10000
Buy Floor Now:  https:// us?search[paymentAssets][0]=ETH&search[sortAscending]=true&search[sortBy]=PRICE&search[toggles][0]=BUY_NOW&ref=0x8363b3c46c057f9218ddc2f8fa87994173b57d82 … View Activity:  https:// haus?ref=0x8363b3c46c057f9218ddc2f8fa87994173b57d82 …  #muri    #NFTs",2022-03-26T18:20:47.000Z,,4,4
NftsRankingBot,@NftsRankingBot,"...
35   PuzlPack (Punks)
29   Alienverse - NFT
29    MURI   by   Haus 25   KaijuFrenz: Genesis
22   Murder Head Death Club",2022-03-26T18:08:29.000Z,,,
Yash,@eth_yash,"MURI   by   Haus   @MuriNFT   
  http:// It is a 10,000 edition collection with a deep story in night city.",2022-03-26T18:07:27.000Z,1,,
NFT Whale Alert,@nftwhalealert,"Hourly Top Sales
Sprite Club Official: 671
Milady Maker: 64
The Space Warriors Club: 63
Trippy Toadz NFT: 62
PuzlPack (Punks): 59
KaijuFrenz: Genesis: 58 MURI   by   Haus : 58
Alienverse - NFT: 51
Gutter Juice: 45
Undead Blocks Genesis Weapons: 41",2022-03-26T18:00:23.000Z,1,4,13
NFT Sentiment Updates,@NFTSentimentX,"1H Top  #Nft  Sales

Sprite Club Official: 666
Everai Heroes: Duo: 287
PuzlPack (Punks): 61
The Space Warriors Club: 60
Milady Maker: 59
Trippy Toadz NFT: 57
KaijuFrenz: Genesis: 57 MURI   by   Haus : 55
Alienverse - NFT: 48
Undead Blocks Genesis Weapons: 41",2022-03-26T18:00:00.000Z,,,2
1nChain,@1nChain,This collection    #MURIbyHaus    #NFT   #NFTs   #opensea,2022-03-26T17:40:34.000Z,3,1,4
Muri Alpha Group,@MuriAlphaGroup,"We hope everyone who has joined the server has been enjoying themselves! Only good intentions for all you Night City Members   

- #MuriNFT   #MURIbyHaus",2022-03-26T16:32:17.000Z,1,2,14
the7dew,@the7dew,Welcome to Night City  @MuriNFT    #MURI    #MURIbyHaus    #MuriFollowMuri,2022-03-26T15:06:43.000Z,,,5
Xinz,@xhtZzzZ,Rocking my new  muri  banner!! Thanks to  @jjjjsoul    #MURIbyHaus    #MuriFollowMuri,2022-03-26T14:23:57.000Z,,1,2
RidhuanMH,@ridhuanmh,"Say hi to the latest addition for   @MuriNFT  . Had some eth released, so spent time browsing for a good looking one. What ya guys think?  #murifollowsmuri   #MURIbyHaus    #murinft   @haustwts",2022-03-26T14:12:59.000Z,,1,7
Sticky DAO | NFT Alerts,@NFTrepreneur,"Murder Head Death Club | (Ξ 0.09) | (Ξ 2.73)
The Alien Doogle | (Ξ 0.03) | (Ξ 0.99)
JPunks: OG-Rex | (Ξ 0.17) | (Ξ 4.37) MURI   by   Haus  | (Ξ 0.48) | (Ξ 11.99)
MAX PAIN AND FRENS BY XCOPY | (Ξ 1.50) | (Ξ 30.98)

Which NFT are you buying today?",2022-03-26T12:30:35.000Z,,,
Jim Christian,@JimXFT,Lez do this!  #MURIbyHaus,2022-03-26T12:23:59.000Z,,,3
jbrekkie.eth,@lofitribez,"love this! tysm, i live for people like you! xoxo  #muri    #MURIbyHaus",2022-03-26T12:10:58.000Z,1,,3
NFT Whale Alert,@nftwhalealert,"Hourly Top Sales
KaijuFrenz: Genesis: 78
Capybaras Country Club Official: 65
Parallel Alpha: 61
JPunks: OG-Rex: 44
Peacefall: 38
Murder Head Death Club: 34
Trippy Toadz NFT: 30 MURI   by   Haus : 27
AlphaSharks NFT: 26
Happy Homies NFT: 26",2022-03-26T12:00:23.000Z,,2,8
NFT Sentiment Updates,@NFTSentimentX,"1H Top  #Nft  Sales

KaijuFrenz: Genesis: 78
Parallel Alpha: 71
Capybaras Country Club Official: 63
JPunks: OG-Rex: 43
Peacefall: 35
Murder Head Death Club: 35
Trippy Toadz NFT: 29 MURI   by   Haus : 27
KIWAMI Genesis: 25
The Alien Doogle: 25",2022-03-26T12:00:00.000Z,1,,5
Spr3adsh33t,@spr3adsh33t,"MURI   by   Haus  - Trading Price Analysis
Floor Price: 0.5 ETH
24 Hour Volume: 253 Trxs | 174.4 ETH
Owners/Supply: 6531/10000
Buy Floor Now:  https:// us?search[paymentAssets][0]=ETH&search[sortAscending]=true&search[sortBy]=PRICE&search[toggles][0]=BUY_NOW&ref=0x8363b3c46c057f9218ddc2f8fa87994173b57d82 … View Activity:  https:// haus?ref=0x8363b3c46c057f9218ddc2f8fa87994173b57d82 …  #muri    #NFTs",2022-03-26T10:47:08.000Z,,2,11
HIGH PROMOTIONS,@high_promotions,"Giveaway!! 
I am giving away this   @MuriNFT   

 to one lucky follower who:

1) Follows me!
2) Retweets this tweet
3) Tags 3 NFT friends in comments
4) Join discord  https:// Winner in 72hrs!!  #Muri    #MURIbyHaus    #NFT   #NFTGiveaways   #erc721   #NFTCollection   #NFTdrop",2022-03-26T05:54:35.000Z,5,9,14
Nick.nft ᵍᵐ,@Nickis_Dead,I still have a good feeling about   @MuriNFT   nows a good time to hop in before the next big pump! Constant volume!  #MURIbyHaus    #MURI    #NFT   #nftcollector   #NFTCommunity,2022-03-26T05:50:06.000Z,3,7,34
𝘕𝘐𝘊𝘏𝘖𝘓𝘈𝘚 𝘞𝘖𝘕𝘎 ,@nicholasxwong,ᴡᴇʙ 2 ᴠꜱ ᴡᴇʙ 3 ᴏꜰ ᴍᴇ.     @MuriNFT    @haustwts   #muribyhaus    #murifollowsmuri,2022-03-26T04:00:21.000Z,3,4,25
Spr3adsh33t,@spr3adsh33t,"MURI   by   Haus  - Trading Price Analysis
Floor Price: 0.5 ETH
24 Hour Volume: 253 Trxs | 174.4 ETH
Owners/Supply: 6531/10000
Buy Floor Now:  https:// us?search[paymentAssets][0]=ETH&search[sortAscending]=true&search[sortBy]=PRICE&search[toggles][0]=BUY_NOW&ref=0x8363b3c46c057f9218ddc2f8fa87994173b57d82 … View Activity:  https:// haus?ref=0x8363b3c46c057f9218ddc2f8fa87994173b57d82 …  #muri    #NFTs",2022-03-26T10:47:08.000Z,,2,11
HIGH PROMOTIONS,@high_promotions,"Giveaway!! 
I am giving away this   @MuriNFT   

 to one lucky follower who:

1) Follows me!
2) Retweets this tweet
3) Tags 3 NFT friends in comments
4) Join discord  https:// Winner in 72hrs!!  #Muri    #MURIbyHaus    #NFT   #NFTGiveaways   #erc721   #NFTCollection   #NFTdrop",2022-03-26T05:54:35.000Z,5,9,14
Nick.nft ᵍᵐ,@Nickis_Dead,I still have a good feeling about   @MuriNFT   nows a good time to hop in before the next big pump! Constant volume!  #MURIbyHaus    #MURI    #NFT   #nftcollector   #NFTCommunity,2022-03-26T05:50:06.000Z,3,7,34
𝘕𝘐𝘊𝘏𝘖𝘓𝘈𝘚 𝘞𝘖𝘕𝘎 ,@nicholasxwong,ᴡᴇʙ 2 ᴠꜱ ᴡᴇʙ 3 ᴏꜰ ᴍᴇ.     @MuriNFT    @haustwts   #muribyhaus    #murifollowsmuri,2022-03-26T04:00:21.000Z,3,4,25
